Time, Vsupply, dca, ia, take
0.0, 16.387, 0.0, -0.015, 1
0.002, 16.388, 0.0, -0.013, 1
0.003, 16.388, 0.001, -0.012, 1
0.004, 16.388, 0.002, -0.011, 1
0.005, 16.388, 0.003, 0.0, 1
0.006, 16.388, 0.004, -0.018, 1
0.007, 16.388, 0.004, -0.018, 1
0.008, 16.387, 0.005, -0.009, 1
0.009, 16.387, 0.005, -0.009, 1
0.01, 16.387, 0.007, -0.01, 1
0.011, 16.388, 0.008, -0.001, 1
0.012, 16.387, 0.008, -0.004, 1
0.013, 16.387, 0.009, -0.01, 1
0.014, 16.387, 0.01, -0.017, 1
0.015, 16.387, 0.011, -0.01, 1
0.016, 16.387, 0.012, -0.009, 1
0.017, 16.387, 0.012, -0.014, 1
0.018, 16.387, 0.013, -0.014, 1
0.019, 16.387, 0.014, -0.012, 1
0.02, 16.387, 0.015, -0.022, 1
0.021, 16.387, 0.016, -0.017, 1
0.022, 16.387, 0.016, -0.002, 1
0.023, 16.387, 0.017, -0.007, 1
0.024, 16.387, 0.018, -0.019, 1
0.025, 16.387, 0.019, -0.012, 1
0.026, 16.386, 0.02, -0.002, 1
0.027, 16.385, 0.02, -0.015, 1
0.028, 16.385, 0.021, -0.012, 1
0.029, 16.385, 0.022, -0.01, 1
0.03, 16.385, 0.023, -0.022, 1
0.032, 16.385, 0.024, -0.017, 1
0.033, 16.385, 0.024, -0.021, 1
0.034, 16.384, 0.025, -0.014, 1
0.034, 16.384, 0.026, -0.003, 1
0.035, 16.384, 0.027, 0.0, 1
0.036, 16.384, 0.028, -0.01, 1
0.037, 16.384, 0.028, 0.012, 1
0.038, 16.383, 0.029, 0.007, 1
0.039, 16.383, 0.03, 0.041, 1
0.04, 16.383, 0.031, 0.034, 1
0.041, 16.382, 0.032, 0.037, 1
0.042, 16.382, 0.032, -0.006, 1
0.043, 16.381, 0.033, 0.041, 1
0.044, 16.38, 0.034, 0.099, 1
0.045, 16.38, 0.035, 0.202, 1
0.046, 16.38, 0.036, 0.191, 1
0.047, 16.38, 0.036, 0.158, 1
0.048, 16.38, 0.037, 0.223, 1
0.049, 16.38, 0.038, 0.253, 1
0.05, 16.379, 0.039, 0.255, 1
0.051, 16.379, 0.04, 0.357, 1
0.052, 16.378, 0.04, 0.31, 1
0.053, 16.378, 0.041, 0.31, 1
0.054, 16.377, 0.042, 0.33, 1
0.055, 16.376, 0.043, 0.457, 1
0.056, 16.375, 0.044, 0.501, 1
0.057, 16.375, 0.044, 0.542, 1
0.058, 16.374, 0.045, 0.622, 1
0.059, 16.374, 0.046, 0.62, 1
0.06, 16.374, 0.047, 0.593, 1
0.061, 16.373, 0.048, 0.673, 1
0.062, 16.373, 0.048, 0.708, 1
0.063, 16.372, 0.049, 0.777, 1
0.064, 16.372, 0.05, 0.711, 1
0.065, 16.372, 0.051, 0.825, 1
0.066, 16.371, 0.052, 0.971, 1
0.067, 16.371, 0.052, 0.971, 1
0.068, 16.37, 0.053, 0.973, 1
0.069, 16.369, 0.054, 1.042, 1
0.07, 16.369, 0.055, 1.081, 1
0.071, 16.368, 0.056, 1.092, 1
0.072, 16.368, 0.056, 1.214, 1
0.073, 16.367, 0.057, 1.238, 1
0.074, 16.366, 0.058, 1.217, 1
0.075, 16.365, 0.059, 1.326, 1
0.076, 16.365, 0.06, 1.414, 1
0.077, 16.365, 0.06, 1.245, 1
0.078, 16.364, 0.061, 1.352, 1
0.079, 16.363, 0.062, 1.479, 1
0.08, 16.362, 0.063, 1.588, 1
0.081, 16.362, 0.063, 1.588, 1
0.082, 16.362, 0.063, 1.588, 1
0.083, 16.36, 0.065, 1.729, 1
0.084, 16.358, 0.066, 1.885, 1
0.085, 16.357, 0.067, 1.815, 1
0.086, 16.357, 0.068, 1.863, 1
0.087, 16.357, 0.068, 1.904, 1
0.088, 16.356, 0.069, 2.069, 1
0.089, 16.354, 0.07, 2.005, 1
0.09, 16.354, 0.071, 2.051, 1
0.091, 16.354, 0.072, 2.224, 1
0.092, 16.353, 0.072, 2.128, 1
0.093, 16.352, 0.073, 2.233, 1
0.094, 16.352, 0.073, 2.233, 1
0.095, 16.35, 0.074, 2.341, 1
0.096, 16.348, 0.076, 2.426, 1
0.097, 16.347, 0.076, 2.423, 1
0.098, 16.347, 0.077, 2.423, 1
0.099, 16.345, 0.078, 2.562, 1
0.1, 16.344, 0.079, 2.618, 1
0.101, 16.343, 0.08, 2.623, 1
0.102, 16.343, 0.08, 2.664, 1
0.103, 16.343, 0.08, 2.664, 1
0.105, 16.341, 0.081, 2.73, 1
0.105, 16.339, 0.083, 2.892, 1
0.106, 16.339, 0.084, 2.911, 1
0.107, 16.338, 0.084, 2.881, 1
