Time, Vsupply, dca, ia, take
0.0, 16.395, 0.0, -0.0, 1
0.002, 16.395, 0.0, -0.011, 1
0.003, 16.395, 0.001, -0.014, 1
0.004, 16.395, 0.002, -0.011, 1
0.005, 16.395, 0.003, -0.003, 1
0.006, 16.395, 0.004, -0.007, 1
0.007, 16.395, 0.004, -0.001, 1
0.008, 16.395, 0.005, -0.008, 1
0.009, 16.395, 0.006, -0.013, 1
0.01, 16.395, 0.007, -0.008, 1
0.011, 16.395, 0.008, -0.005, 1
0.012, 16.395, 0.008, -0.0, 1
0.013, 16.395, 0.009, -0.011, 1
0.014, 16.395, 0.01, -0.011, 1
0.015, 16.394, 0.011, -0.009, 1
0.016, 16.395, 0.012, 0.0, 1
0.017, 16.395, 0.012, -0.014, 1
0.018, 16.395, 0.013, -0.004, 1
0.019, 16.395, 0.014, -0.006, 1
0.02, 16.395, 0.015, -0.001, 1
0.021, 16.396, 0.016, 0.232, 1
0.022, 16.396, 0.016, -0.019, 1
0.023, 16.396, 0.017, -0.011, 1
0.024, 16.396, 0.018, 0.538, 1
0.025, 16.395, 0.019, 0.512, 1
0.026, 16.395, 0.02, 0.336, 1
0.027, 16.395, 0.02, 0.478, 1
0.028, 16.394, 0.021, 0.42, 1
0.029, 16.394, 0.022, 0.501, 1
0.03, 16.394, 0.023, 0.497, 1
0.031, 16.394, 0.024, 0.362, 1
0.032, 16.394, 0.024, 0.39, 1
0.033, 16.393, 0.025, 0.384, 1
0.034, 16.393, 0.026, 0.397, 1
0.035, 16.393, 0.027, 0.483, 1
0.036, 16.392, 0.028, 0.416, 1
0.037, 16.393, 0.028, 0.409, 1
0.038, 16.393, 0.028, 0.409, 1
0.039, 16.393, 0.028, 0.409, 1
0.04, 16.393, 0.031, 0.555, 1
0.041, 16.393, 0.032, 0.491, 1
0.042, 16.392, 0.032, 0.652, 1
0.043, 16.392, 0.033, 0.595, 1
0.044, 16.392, 0.033, 0.595, 1
0.045, 16.392, 0.034, 0.609, 1
0.046, 16.391, 0.036, 0.799, 1
0.047, 16.391, 0.036, 0.718, 1
0.048, 16.39, 0.037, 0.784, 1
0.049, 16.39, 0.037, 0.784, 1
0.05, 16.391, 0.038, 0.831, 1
0.051, 16.39, 0.04, 0.972, 1
0.052, 16.39, 0.04, 0.886, 1
0.053, 16.39, 0.041, 0.996, 1
