Time, Vsupply, dca, ia, take
0.0, 16.404, 0.0, -0.006, 1
0.002, 16.403, 0.0, -0.01, 1
0.003, 16.403, 0.001, -0.007, 1
0.004, 16.403, 0.002, -0.001, 1
0.005, 16.403, 0.003, -0.008, 1
0.006, 16.403, 0.004, -0.002, 1
0.007, 16.403, 0.004, -0.0, 1
0.008, 16.403, 0.005, 0.011, 1
0.009, 16.403, 0.006, -0.005, 1
0.01, 16.403, 0.007, -0.004, 1
0.011, 16.403, 0.008, -0.007, 1
0.012, 16.403, 0.008, -0.003, 1
0.013, 16.403, 0.009, -0.014, 1
0.014, 16.403, 0.01, 0.002, 1
0.015, 16.403, 0.011, -0.005, 1
0.016, 16.403, 0.012, -0.0, 1
0.017, 16.403, 0.012, -0.0, 1
0.018, 16.403, 0.012, -0.001, 1
0.019, 16.403, 0.014, 0.005, 1
0.02, 16.403, 0.015, -0.01, 1
0.021, 16.403, 0.016, 0.359, 1
0.022, 16.403, 0.016, 0.361, 1
0.023, 16.403, 0.017, 0.872, 1
0.024, 16.403, 0.018, 0.87, 1
0.025, 16.402, 0.019, 0.867, 1
0.026, 16.402, 0.02, 1.362, 1
0.027, 16.402, 0.02, 1.189, 1
0.028, 16.402, 0.021, 1.229, 1
0.029, 16.402, 0.022, 1.708, 1
0.03, 16.401, 0.023, 1.644, 1
0.031, 16.401, 0.024, 1.921, 1
0.032, 16.401, 0.024, 1.711, 1
0.033, 16.401, 0.024, 1.711, 1
0.034, 16.4, 0.025, 1.895, 1
0.035, 16.4, 0.027, 1.965, 1
0.036, 16.4, 0.028, 2.127, 1
0.037, 16.401, 0.028, 1.807, 1
0.038, 16.401, 0.029, 1.998, 1
0.039, 16.4, 0.03, 1.752, 1
0.04, 16.4, 0.031, 2.01, 1
0.041, 16.4, 0.032, 1.67, 1
0.042, 16.4, 0.032, 1.899, 1
0.043, 16.4, 0.033, 1.757, 1
0.044, 16.399, 0.034, 1.69, 1
0.045, 16.4, 0.035, 1.579, 1
0.046, 16.399, 0.036, 1.505, 1
0.047, 16.4, 0.036, 1.395, 1
0.048, 16.4, 0.037, 1.236, 1
0.049, 16.4, 0.038, 1.362, 1
0.05, 16.399, 0.039, 1.223, 1
0.051, 16.399, 0.04, 1.399, 1
0.052, 16.398, 0.04, 1.272, 1
0.053, 16.399, 0.041, 1.298, 1
0.054, 16.398, 0.042, 1.355, 1
0.055, 16.398, 0.043, 1.364, 1
0.056, 16.398, 0.044, 1.434, 1
0.057, 16.397, 0.044, 1.406, 1
0.058, 16.398, 0.045, 1.508, 1
0.059, 16.397, 0.046, 1.538, 1
0.06, 16.397, 0.047, 1.585, 1
0.061, 16.397, 0.048, 1.593, 1
0.062, 16.396, 0.048, 1.648, 1
0.063, 16.396, 0.049, 1.709, 1
