Time, Vsupply, dca, ia, take
0.0, 16.383, 0.0, 0.015, 1
0.002, 16.383, 0.0, 0.005, 1
0.003, 16.384, 0.001, 0.012, 1
0.004, 16.384, 0.002, 0.008, 1
0.005, 16.384, 0.003, 0.013, 1
0.006, 16.384, 0.004, 0.003, 1
0.007, 16.384, 0.004, 0.008, 1
0.008, 16.384, 0.005, 0.02, 1
0.009, 16.384, 0.006, 0.01, 1
0.01, 16.384, 0.007, 0.003, 1
0.011, 16.384, 0.008, 0.0, 1
0.012, 16.384, 0.008, 0.008, 1
0.013, 16.384, 0.009, 0.01, 1
0.014, 16.384, 0.01, 0.001, 1
0.015, 16.384, 0.011, 0.01, 1
0.016, 16.384, 0.012, 0.004, 1
0.017, 16.384, 0.012, 0.009, 1
0.018, 16.384, 0.013, 0.006, 1
0.019, 16.384, 0.014, 0.006, 1
0.02, 16.384, 0.015, 0.018, 1
0.021, 16.384, 0.016, -0.004, 1
0.022, 16.384, 0.016, 0.273, 1
0.023, 16.384, 0.017, 0.01, 1
0.024, 16.383, 0.018, 0.282, 1
0.025, 16.383, 0.019, 0.727, 1
0.026, 16.382, 0.02, 0.72, 1
0.027, 16.382, 0.02, 1.114, 1
0.028, 16.382, 0.021, 1.343, 1
0.029, 16.382, 0.022, 1.326, 1
0.03, 16.382, 0.023, 1.252, 1
0.031, 16.382, 0.024, 1.682, 1
0.032, 16.382, 0.024, 1.76, 1
0.033, 16.382, 0.025, 1.762, 1
0.034, 16.382, 0.026, 2.376, 1
0.035, 16.381, 0.027, 2.344, 1
0.036, 16.381, 0.028, 2.458, 1
0.037, 16.381, 0.028, 2.47, 1
0.038, 16.381, 0.029, 2.706, 1
0.039, 16.381, 0.03, 2.724, 1
0.04, 16.381, 0.031, 2.71, 1
0.041, 16.38, 0.032, 2.852, 1
0.042, 16.38, 0.032, 2.871, 1
0.043, 16.38, 0.033, 3.024, 1
0.044, 16.38, 0.034, 3.109, 1
0.045, 16.38, 0.035, 3.09, 1
0.046, 16.379, 0.036, 3.144, 1
0.047, 16.379, 0.036, 3.148, 1
0.048, 16.378, 0.037, 3.238, 1
0.049, 16.378, 0.038, 3.264, 1
0.05, 16.377, 0.039, 3.335, 1
0.051, 16.377, 0.04, 3.384, 1
