Time, Vsupply, dca, ia, take
0.0, 16.396, 0.0, -0.015, 1
0.002, 16.396, 0.0, -0.018, 1
0.003, 16.396, 0.0, -0.018, 1
0.004, 16.396, 0.002, -0.019, 1
0.005, 16.396, 0.003, -0.017, 1
0.006, 16.396, 0.004, -0.022, 1
0.007, 16.396, 0.004, -0.015, 1
0.008, 16.396, 0.005, -0.008, 1
0.009, 16.396, 0.006, -0.01, 1
0.01, 16.396, 0.007, -0.023, 1
0.011, 16.396, 0.008, -0.021, 1
0.012, 16.396, 0.008, -0.017, 1
0.013, 16.396, 0.009, -0.012, 1
0.014, 16.396, 0.01, -0.009, 1
0.015, 16.396, 0.011, -0.019, 1
0.016, 16.396, 0.012, -0.013, 1
0.017, 16.396, 0.012, -0.017, 1
0.018, 16.396, 0.013, -0.015, 1
0.019, 16.396, 0.014, -0.011, 1
0.02, 16.396, 0.015, -0.002, 1
0.021, 16.396, 0.016, -0.003, 1
0.022, 16.396, 0.016, -0.024, 1
0.023, 16.396, 0.017, 0.335, 1
0.024, 16.396, 0.018, 0.353, 1
0.025, 16.396, 0.019, 0.869, 1
0.026, 16.396, 0.02, 1.135, 1
0.027, 16.396, 0.02, 1.237, 1
0.028, 16.395, 0.021, 1.236, 1
0.029, 16.396, 0.022, 1.575, 1
0.03, 16.395, 0.023, 1.469, 1
0.031, 16.395, 0.024, 1.607, 1
0.032, 16.395, 0.024, 1.658, 1
0.033, 16.394, 0.025, 1.871, 1
0.034, 16.394, 0.026, 1.934, 1
0.035, 16.393, 0.027, 1.83, 1
0.036, 16.393, 0.028, 1.961, 1
0.037, 16.393, 0.028, 1.977, 1
0.038, 16.393, 0.029, 1.835, 1
0.039, 16.392, 0.03, 1.778, 1
0.04, 16.392, 0.031, 1.688, 1
0.041, 16.392, 0.032, 1.905, 1
0.042, 16.393, 0.032, 1.936, 1
0.043, 16.392, 0.033, 1.849, 1
0.044, 16.392, 0.034, 1.686, 1
0.045, 16.391, 0.035, 1.357, 1
0.046, 16.391, 0.036, 1.583, 1
0.047, 16.391, 0.036, 1.636, 1
0.048, 16.39, 0.037, 1.374, 1
0.049, 16.39, 0.038, 1.333, 1
0.05, 16.389, 0.039, 1.363, 1
0.051, 16.389, 0.04, 1.343, 1
0.052, 16.389, 0.04, 1.394, 1
0.053, 16.389, 0.041, 1.397, 1
0.054, 16.388, 0.042, 1.482, 1
0.055, 16.387, 0.043, 1.506, 1
0.056, 16.387, 0.044, 1.575, 1
0.057, 16.386, 0.044, 1.562, 1
0.058, 16.386, 0.045, 1.637, 1
0.059, 16.386, 0.046, 1.666, 1
0.06, 16.386, 0.047, 1.759, 1
0.061, 16.385, 0.048, 1.777, 1
0.062, 16.385, 0.048, 1.771, 1
0.063, 16.384, 0.049, 1.813, 1
0.064, 16.384, 0.05, 1.881, 1
0.065, 16.384, 0.051, 1.913, 1
0.066, 16.383, 0.052, 1.99, 1
0.067, 16.383, 0.052, 1.989, 1
0.068, 16.382, 0.053, 2.014, 1
0.069, 16.382, 0.054, 2.117, 1
0.07, 16.382, 0.054, 2.117, 1
0.071, 16.381, 0.055, 2.161, 1
0.072, 16.381, 0.056, 2.224, 1
0.073, 16.38, 0.057, 2.262, 1
0.074, 16.379, 0.058, 2.354, 1
0.075, 16.378, 0.059, 2.407, 1
0.076, 16.378, 0.06, 2.446, 1
