Time, Vsupply, dca, ia, take
0.0, 16.355, 0.0, 0.018, 1
0.002, 16.355, 0.0, 0.007, 1
0.003, 16.355, 0.001, 0.017, 1
0.004, 16.355, 0.002, 0.016, 1
0.005, 16.355, 0.003, 0.0, 1
0.006, 16.355, 0.004, 0.004, 1
0.007, 16.354, 0.004, 0.009, 1
0.008, 16.356, 0.005, 0.012, 1
0.009, 16.356, 0.005, 0.012, 1
0.01, 16.358, 0.007, 0.012, 1
0.011, 16.359, 0.008, 0.01, 1
0.012, 16.359, 0.008, 0.012, 1
0.013, 16.359, 0.009, 0.002, 1
0.014, 16.359, 0.01, 0.015, 1
0.015, 16.358, 0.011, 0.01, 1
0.016, 16.358, 0.012, 0.021, 1
0.017, 16.357, 0.012, 0.01, 1
0.018, 16.357, 0.013, 0.0, 1
0.019, 16.356, 0.014, 0.006, 1
0.02, 16.355, 0.015, 0.006, 1
0.021, 16.354, 0.016, 0.0, 1
0.022, 16.355, 0.016, 0.009, 1
0.023, 16.354, 0.017, 0.016, 1
0.024, 16.354, 0.018, 0.019, 1
0.025, 16.353, 0.019, 0.01, 1
0.026, 16.353, 0.02, 0.014, 1
0.027, 16.353, 0.02, 0.017, 1
0.028, 16.352, 0.021, -0.0, 1
0.029, 16.352, 0.022, 0.007, 1
0.03, 16.352, 0.023, 0.005, 1
0.031, 16.351, 0.024, 0.006, 1
0.032, 16.351, 0.024, 0.002, 1
0.033, 16.351, 0.025, 0.013, 1
0.034, 16.35, 0.026, 0.005, 1
0.035, 16.35, 0.027, 0.015, 1
0.036, 16.35, 0.028, -0.005, 1
0.037, 16.349, 0.028, 0.015, 1
0.038, 16.349, 0.029, 0.008, 1
0.039, 16.349, 0.03, 0.029, 1
0.04, 16.348, 0.031, 0.017, 1
0.041, 16.347, 0.032, 0.017, 1
0.042, 16.348, 0.032, 0.015, 1
0.043, 16.347, 0.033, 0.03, 1
0.044, 16.347, 0.034, 0.085, 1
0.045, 16.346, 0.035, 0.151, 1
0.046, 16.345, 0.036, 0.13, 1
0.047, 16.345, 0.036, 0.13, 1
0.048, 16.345, 0.037, 0.211, 1
0.049, 16.345, 0.038, 0.18, 1
0.05, 16.344, 0.039, 0.213, 1
0.051, 16.343, 0.04, 0.283, 1
0.052, 16.343, 0.04, 0.286, 1
0.053, 16.343, 0.041, 0.299, 1
0.054, 16.342, 0.042, 0.327, 1
0.055, 16.34, 0.043, 0.335, 1
0.056, 16.34, 0.044, 0.492, 1
0.057, 16.34, 0.044, 0.492, 1
0.058, 16.34, 0.044, 0.305, 1
0.059, 16.338, 0.046, 0.51, 1
0.06, 16.338, 0.047, 0.61, 1
0.061, 16.337, 0.048, 0.504, 1
0.062, 16.337, 0.048, 0.563, 1
0.063, 16.337, 0.048, 0.563, 1
0.064, 16.336, 0.049, 0.661, 1
0.065, 16.335, 0.051, 0.813, 1
0.066, 16.333, 0.052, 0.792, 1
0.067, 16.333, 0.052, 0.884, 1
0.068, 16.333, 0.053, 0.944, 1
0.069, 16.331, 0.054, 0.939, 1
0.07, 16.331, 0.055, 0.991, 1
0.071, 16.329, 0.056, 1.15, 1
0.072, 16.329, 0.056, 1.162, 1
0.073, 16.328, 0.057, 1.128, 1
0.074, 16.326, 0.058, 1.239, 1
0.075, 16.326, 0.059, 1.249, 1
0.076, 16.325, 0.06, 1.403, 1
0.077, 16.325, 0.06, 1.365, 1
0.078, 16.324, 0.061, 1.497, 1
0.079, 16.323, 0.062, 1.53, 1
0.08, 16.322, 0.063, 1.559, 1
0.081, 16.32, 0.064, 1.699, 1
0.082, 16.32, 0.064, 1.756, 1
0.083, 16.319, 0.065, 1.846, 1
0.084, 16.317, 0.066, 1.86, 1
0.085, 16.316, 0.067, 2.007, 1
0.086, 16.315, 0.068, 1.966, 1
0.087, 16.314, 0.068, 1.961, 1
0.088, 16.313, 0.069, 2.134, 1
0.089, 16.313, 0.069, 2.134, 1
0.09, 16.311, 0.071, 2.231, 1
0.091, 16.31, 0.072, 2.426, 1
0.092, 16.309, 0.072, 2.401, 1
0.093, 16.309, 0.073, 2.236, 1
0.094, 16.307, 0.074, 2.546, 1
0.095, 16.305, 0.075, 2.621, 1
0.096, 16.305, 0.076, 2.568, 1
0.097, 16.306, 0.076, 2.549, 1
0.098, 16.306, 0.077, 2.728, 1
0.099, 16.305, 0.078, 2.788, 1
0.1, 16.303, 0.079, 2.949, 1
0.101, 16.302, 0.08, 2.963, 1
0.102, 16.302, 0.08, 2.798, 1
0.103, 16.301, 0.081, 2.902, 1
0.104, 16.3, 0.082, 3.047, 1
0.105, 16.298, 0.083, 3.053, 1
0.106, 16.296, 0.084, 3.168, 1
0.107, 16.294, 0.084, 3.187, 1
0.108, 16.292, 0.085, 3.301, 1
0.109, 16.291, 0.086, 3.317, 1
0.11, 16.289, 0.087, 3.401, 1
0.111, 16.288, 0.088, 3.428, 1
0.112, 16.287, 0.088, 3.418, 1
0.113, 16.286, 0.089, 3.524, 1
0.114, 16.284, 0.09, 3.649, 1
0.115, 16.282, 0.091, 3.621, 1
0.116, 16.281, 0.092, 3.71, 1
0.117, 16.281, 0.092, 3.716, 1
0.118, 16.28, 0.093, 3.787, 1
0.119, 16.277, 0.094, 3.836, 1
0.12, 16.275, 0.095, 3.881, 1
0.121, 16.273, 0.096, 3.91, 1
0.122, 16.272, 0.096, 3.884, 1
0.123, 16.272, 0.096, 3.884, 1
0.124, 16.271, 0.097, 3.961, 1
0.125, 16.268, 0.099, 4.077, 1
0.126, 16.266, 0.1, 4.154, 1
0.127, 16.264, 0.1, 4.135, 1
0.128, 16.263, 0.101, 4.201, 1
0.129, 16.262, 0.102, 4.244, 1
0.13, 16.26, 0.103, 4.305, 1
0.131, 16.257, 0.104, 4.331, 1
0.132, 16.256, 0.104, 4.324, 1
0.133, 16.254, 0.105, 4.4, 1
0.134, 16.252, 0.106, 4.438, 1
0.135, 16.25, 0.107, 4.487, 1
0.136, 16.248, 0.108, 4.524, 1
0.137, 16.248, 0.108, 4.512, 1
0.138, 16.245, 0.109, 4.584, 1
0.139, 16.242, 0.11, 4.622, 1
0.14, 16.24, 0.111, 4.66, 1
0.141, 16.239, 0.112, 4.679, 1
0.142, 16.238, 0.112, 4.681, 1
