Time, Vsupply, dca, ia, take
0.0, 16.293, 0.0, -0.022, 1
0.002, 16.294, 0.0, -0.012, 1
0.003, 16.294, 0.001, -0.023, 1
0.004, 16.293, 0.002, -0.015, 1
0.005, 16.293, 0.003, -0.006, 1
0.006, 16.293, 0.004, -0.021, 1
0.007, 16.293, 0.004, -0.018, 1
0.008, 16.293, 0.005, -0.01, 1
0.009, 16.293, 0.006, -0.014, 1
0.01, 16.293, 0.007, -0.013, 1
0.011, 16.293, 0.008, -0.02, 1
0.012, 16.293, 0.008, -0.02, 1
0.013, 16.293, 0.008, -0.022, 1
0.014, 16.293, 0.01, -0.026, 1
0.015, 16.293, 0.011, -0.025, 1
0.016, 16.293, 0.012, -0.017, 1
0.017, 16.293, 0.012, -0.015, 1
0.018, 16.293, 0.013, -0.022, 1
0.019, 16.293, 0.014, -0.02, 1
0.02, 16.293, 0.015, -0.023, 1
0.021, 16.293, 0.016, -0.019, 1
0.022, 16.293, 0.016, -0.019, 1
0.023, 16.293, 0.016, -0.029, 1
0.024, 16.293, 0.018, 0.151, 1
0.025, 16.293, 0.019, 0.218, 1
0.026, 16.292, 0.02, 0.359, 1
0.027, 16.292, 0.02, 0.177, 1
0.028, 16.292, 0.021, 0.356, 1
0.029, 16.292, 0.022, 0.498, 1
0.03, 16.292, 0.023, 0.645, 1
0.031, 16.292, 0.024, 0.502, 1
0.032, 16.292, 0.024, 0.751, 1
0.033, 16.292, 0.025, 0.897, 1
0.034, 16.292, 0.026, 0.762, 1
0.035, 16.291, 0.027, 0.997, 1
0.036, 16.291, 0.028, 1.021, 1
0.037, 16.291, 0.028, 1.021, 1
0.038, 16.291, 0.029, 1.143, 1
0.039, 16.291, 0.03, 1.179, 1
0.04, 16.291, 0.03, 1.179, 1
0.041, 16.289, 0.032, 1.45, 1
0.042, 16.289, 0.032, 1.291, 1
0.043, 16.289, 0.033, 1.493, 1
0.044, 16.289, 0.034, 1.71, 1
0.045, 16.289, 0.035, 1.728, 1
0.046, 16.289, 0.036, 1.827, 1
0.047, 16.289, 0.036, 1.776, 1
0.048, 16.289, 0.037, 1.795, 1
0.049, 16.289, 0.037, 1.795, 1
0.05, 16.288, 0.039, 2.099, 1
0.051, 16.288, 0.04, 1.964, 1
0.052, 16.287, 0.04, 2.04, 1
0.053, 16.287, 0.04, 2.04, 1
0.054, 16.287, 0.041, 2.163, 1
0.055, 16.286, 0.043, 2.41, 1
0.056, 16.285, 0.044, 2.547, 1
0.057, 16.286, 0.044, 2.575, 1
0.058, 16.285, 0.045, 2.578, 1
0.059, 16.285, 0.046, 2.73, 1
0.06, 16.285, 0.047, 2.687, 1
0.061, 16.284, 0.048, 2.718, 1
0.062, 16.284, 0.048, 2.865, 1
0.063, 16.284, 0.049, 3.09, 1
0.064, 16.283, 0.05, 2.993, 1
0.065, 16.282, 0.051, 3.155, 1
0.066, 16.282, 0.052, 3.273, 1
0.067, 16.282, 0.052, 3.217, 1
0.068, 16.281, 0.053, 3.371, 1
0.069, 16.281, 0.054, 3.422, 1
0.07, 16.28, 0.055, 3.494, 1
0.071, 16.279, 0.056, 3.487, 1
0.072, 16.279, 0.056, 3.436, 1
0.073, 16.279, 0.057, 3.604, 1
0.074, 16.278, 0.058, 3.748, 1
0.075, 16.277, 0.059, 3.695, 1
0.076, 16.276, 0.06, 3.798, 1
0.077, 16.276, 0.06, 3.765, 1
0.078, 16.275, 0.061, 3.827, 1
0.079, 16.275, 0.062, 3.902, 1
0.081, 16.275, 0.063, 3.932, 1
0.081, 16.273, 0.064, 3.985, 1
0.082, 16.273, 0.064, 3.991, 1
0.083, 16.272, 0.065, 4.036, 1
0.084, 16.272, 0.066, 4.049, 1
0.085, 16.272, 0.067, 4.084, 1
0.086, 16.271, 0.068, 4.097, 1
0.087, 16.271, 0.068, 4.088, 1
0.088, 16.271, 0.068, 4.088, 1
0.089, 16.27, 0.07, 4.058, 1
0.09, 16.27, 0.071, 4.135, 1
0.091, 16.27, 0.071, 4.135, 1
0.092, 16.269, 0.072, 4.074, 1
0.093, 16.268, 0.073, 4.033, 1
0.094, 16.267, 0.074, 4.066, 1
0.095, 16.266, 0.075, 4.141, 1
0.096, 16.265, 0.076, 3.948, 1
0.097, 16.265, 0.076, 3.911, 1
0.098, 16.264, 0.077, 3.938, 1
0.099, 16.263, 0.078, 3.778, 1
0.1, 16.262, 0.079, 3.765, 1
0.101, 16.262, 0.079, 3.765, 1
0.102, 16.261, 0.08, 3.755, 1
0.103, 16.261, 0.081, 3.589, 1
0.104, 16.26, 0.082, 3.502, 1
0.105, 16.259, 0.083, 3.295, 1
0.106, 16.258, 0.084, 3.307, 1
0.107, 16.258, 0.084, 3.405, 1
0.108, 16.257, 0.085, 3.316, 1
0.109, 16.255, 0.086, 3.313, 1
0.11, 16.255, 0.087, 3.244, 1
0.111, 16.253, 0.088, 3.298, 1
0.112, 16.253, 0.088, 3.28, 1
0.113, 16.252, 0.089, 3.31, 1
0.114, 16.251, 0.09, 3.335, 1
0.115, 16.251, 0.091, 3.373, 1
0.116, 16.25, 0.092, 3.405, 1
0.117, 16.249, 0.092, 3.409, 1
0.118, 16.249, 0.093, 3.424, 1
0.119, 16.247, 0.094, 3.494, 1
0.12, 16.246, 0.095, 3.525, 1
0.121, 16.245, 0.096, 3.551, 1
0.122, 16.244, 0.096, 3.553, 1
0.123, 16.244, 0.097, 3.585, 1
0.124, 16.242, 0.098, 3.644, 1
0.125, 16.24, 0.099, 3.677, 1
0.126, 16.24, 0.1, 3.714, 1
0.127, 16.239, 0.1, 3.715, 1
0.128, 16.239, 0.101, 3.74, 1
0.129, 16.237, 0.102, 3.772, 1
0.13, 16.235, 0.103, 3.841, 1
0.131, 16.235, 0.104, 3.853, 1
0.132, 16.235, 0.104, 3.865, 1
0.133, 16.233, 0.105, 3.926, 1
0.134, 16.231, 0.106, 3.97, 1
0.135, 16.23, 0.107, 3.987, 1
0.136, 16.229, 0.108, 4.017, 1
0.137, 16.229, 0.108, 4.041, 1
0.138, 16.227, 0.109, 4.111, 1
0.139, 16.225, 0.11, 4.115, 1
0.14, 16.224, 0.111, 4.156, 1
0.141, 16.223, 0.112, 4.209, 1
0.142, 16.222, 0.112, 4.197, 1
0.143, 16.222, 0.113, 4.236, 1
0.144, 16.22, 0.114, 4.273, 1
0.145, 16.218, 0.115, 4.336, 1
0.146, 16.217, 0.116, 4.372, 1
0.147, 16.217, 0.116, 4.36, 1
0.148, 16.216, 0.117, 4.383, 1
0.149, 16.215, 0.118, 4.456, 1
0.15, 16.213, 0.119, 4.482, 1
0.151, 16.212, 0.12, 4.533, 1
0.152, 16.211, 0.12, 4.532, 1
0.153, 16.21, 0.121, 4.567, 1
0.154, 16.209, 0.122, 4.591, 1
0.155, 16.207, 0.123, 4.664, 1
0.156, 16.206, 0.124, 4.708, 1
0.157, 16.205, 0.124, 4.686, 1
0.158, 16.204, 0.125, 4.764, 1
0.159, 16.202, 0.126, 4.817, 1
0.16, 16.201, 0.127, 4.85, 1
0.161, 16.199, 0.128, 4.893, 1
0.162, 16.199, 0.128, 4.89, 1
0.163, 16.197, 0.129, 4.939, 1
0.164, 16.196, 0.13, 4.976, 1
0.165, 16.194, 0.131, 5.018, 1
0.166, 16.192, 0.132, 5.046, 1
0.167, 16.191, 0.132, 5.04, 1
0.168, 16.19, 0.133, 5.124, 1
0.169, 16.188, 0.134, 5.145, 1
0.17, 16.187, 0.135, 5.186, 1
0.171, 16.185, 0.136, 5.227, 1
0.172, 16.185, 0.136, 5.23, 1
0.173, 16.184, 0.137, 5.276, 1
0.174, 16.182, 0.138, 5.327, 1
0.175, 16.18, 0.139, 5.355, 1
0.176, 16.179, 0.14, 5.409, 1
0.177, 16.179, 0.14, 5.401, 1
0.178, 16.177, 0.141, 5.449, 1
0.179, 16.175, 0.142, 5.504, 1
0.18, 16.173, 0.143, 5.54, 1
0.181, 16.172, 0.144, 5.583, 1
0.182, 16.171, 0.144, 5.579, 1
0.183, 16.17, 0.145, 5.605, 1
0.184, 16.167, 0.146, 5.712, 1
0.185, 16.165, 0.147, 5.734, 1
0.186, 16.164, 0.148, 5.745, 1
0.187, 16.164, 0.148, 5.761, 1
0.188, 16.161, 0.149, 5.82, 1
0.189, 16.159, 0.15, 5.871, 1
0.19, 16.158, 0.151, 5.915, 1
0.191, 16.158, 0.151, 5.915, 1
0.192, 16.156, 0.152, 5.929, 1
0.193, 16.154, 0.153, 5.991, 1
0.194, 16.151, 0.154, 6.041, 1
0.195, 16.149, 0.155, 6.05, 1
0.196, 16.148, 0.156, 6.12, 1
0.197, 16.147, 0.156, 6.089, 1
0.198, 16.146, 0.157, 6.142, 1
0.199, 16.143, 0.158, 6.2, 1
0.2, 16.141, 0.159, 6.26, 1
0.201, 16.139, 0.16, 6.287, 1
0.202, 16.138, 0.16, 6.284, 1
0.203, 16.137, 0.161, 6.314, 1
0.204, 16.135, 0.162, 6.386, 1
0.205, 16.133, 0.163, 6.433, 1
0.206, 16.131, 0.164, 6.457, 1
0.207, 16.129, 0.164, 6.461, 1
0.208, 16.128, 0.165, 6.495, 1
0.209, 16.126, 0.166, 6.54, 1
0.21, 16.123, 0.167, 6.607, 1
0.211, 16.121, 0.168, 6.619, 1
0.212, 16.12, 0.168, 6.646, 1
0.213, 16.117, 0.169, 6.694, 1
0.214, 16.115, 0.17, 6.724, 1
0.215, 16.113, 0.171, 6.774, 1
0.216, 16.112, 0.172, 6.797, 1
0.217, 16.111, 0.172, 6.797, 1
0.218, 16.108, 0.173, 6.869, 1
0.219, 16.105, 0.174, 6.908, 1
0.22, 16.104, 0.175, 6.94, 1
0.221, 16.102, 0.176, 6.982, 1
0.222, 16.102, 0.176, 6.982, 1
0.223, 16.102, 0.176, 6.978, 1
0.224, 16.098, 0.178, 7.052, 1
0.225, 16.095, 0.179, 7.12, 1
0.226, 16.092, 0.18, 7.15, 1
0.227, 16.092, 0.18, 7.135, 1
0.228, 16.091, 0.181, 7.146, 1
0.229, 16.088, 0.182, 7.239, 1
0.23, 16.085, 0.183, 7.28, 1
0.231, 16.084, 0.184, 7.289, 1
0.232, 16.082, 0.184, 7.303, 1
0.233, 16.081, 0.185, 7.327, 1
0.234, 16.08, 0.186, 7.375, 1
0.235, 16.076, 0.187, 7.416, 1
0.236, 16.074, 0.188, 7.457, 1
0.237, 16.073, 0.188, 7.483, 1
0.238, 16.07, 0.189, 7.542, 1
0.239, 16.07, 0.19, 7.557, 1
0.24, 16.07, 0.191, 7.602, 1
0.241, 16.068, 0.192, 7.632, 1
0.242, 16.068, 0.192, 7.637, 1
0.243, 16.065, 0.193, 7.695, 1
0.244, 16.063, 0.194, 7.733, 1
0.245, 16.061, 0.195, 7.752, 1
