Time, Vsupply, ia, dca, current, tension, current_case, frequence, inductance_line
0.078, 4.64, 4.644, 0.0, 4.644, 1.897, 0, 1000, 0.0
0.079, 4.68, 4.683, 0.0, 4.683, 1.897, 0, 1000, 0.0
0.08, 4.66, 4.657, 0.0, 4.657, 1.897, 0, 1000, 0.0
0.081, 4.64, 4.641, 0.0, 4.641, 1.897, 0, 1000, 0.0
0.082, 4.65, 4.649, 0.0, 4.649, 1.897, 0, 1000, 0.0
0.083, 4.67, 4.666, 0.0, 4.666, 1.897, 0, 1000, 0.0
0.084, 4.67, 4.666, 0.0, 4.666, 1.897, 0, 1000, 0.0
0.085, 4.63, 4.632, 0.0, 4.632, 1.897, 0, 1000, 0.0
0.086, 4.62, 4.621, 0.0, 4.621, 1.897, 0, 1000, 0.0
0.087, 4.63, 4.627, 0.0, 4.627, 1.897, 0, 1000, 0.0
0.088, 4.63, 4.626, 0.0, 4.626, 1.897, 0, 1000, 0.0
0.089, 4.66, 4.661, 0.0, 4.661, 1.897, 0, 1000, 0.0
0.09, 4.66, 4.655, 0.0, 4.655, 1.897, 0, 1000, 0.0
0.091, 4.66, 4.662, 0.0, 4.662, 1.897, 0, 1000, 0.0
0.092, 4.65, 4.645, 0.0, 4.645, 1.897, 0, 1000, 0.0
0.093, 4.66, 4.663, 0.0, 4.663, 1.897, 0, 1000, 0.0
0.094, 4.66, 4.665, 0.0, 4.665, 1.897, 0, 1000, 0.0
0.095, 4.64, 4.639, 0.0, 4.639, 1.897, 0, 1000, 0.0
0.096, 4.65, 4.651, 0.0, 4.651, 1.897, 0, 1000, 0.0
0.097, 4.65, 4.646, 0.0, 4.646, 1.897, 0, 1000, 0.0
0.098, 4.67, 4.673, 0.0, 4.673, 1.897, 0, 1000, 0.0
0.099, 4.63, 4.629, 0.0, 4.629, 1.897, 0, 1000, 0.0
0.1, 4.64, 4.637, 0.0, 4.637, 1.897, 0, 1000, 0.0
0.101, 4.65, 4.651, 0.0, 4.651, 1.897, 0, 1000, 0.0
0.102, 4.64, 4.643, 0.0, 4.643, 1.897, 0, 1000, 0.0
0.103, 4.61, 4.613, 0.0, 4.613, 1.897, 0, 1000, 0.0
0.104, 4.64, 4.639, 0.0, 4.639, 1.897, 0, 1000, 0.0
0.105, 4.65, 4.646, 0.0, 4.646, 1.897, 0, 1000, 0.0
0.106, 4.63, 4.629, 0.0, 4.629, 1.897, 0, 1000, 0.0
0.107, 4.63, 4.629, 0.0, 4.629, 1.897, 0, 1000, 0.0
0.108, 4.67, 4.668, 0.0, 4.668, 1.897, 0, 1000, 0.0
0.109, 4.67, 4.673, 0.0, 4.673, 1.897, 0, 1000, 0.0
0.11, 4.63, 4.634, 0.0, 4.634, 1.897, 0, 1000, 0.0
0.111, 4.65, 4.645, 0.0, 4.645, 1.897, 0, 1000, 0.0
0.112, 4.66, 4.657, 0.0, 4.657, 1.897, 0, 1000, 0.0
0.113, 4.63, 4.629, 0.0, 4.629, 1.897, 0, 1000, 0.0
0.114, 4.64, 4.641, 0.0, 4.641, 1.897, 0, 1000, 0.0
0.115, 4.65, 4.65, 0.0, 4.65, 1.897, 0, 1000, 0.0
0.116, 4.65, 4.647, 0.0, 4.647, 1.897, 0, 1000, 0.0
0.117, 4.62, 4.623, 0.0, 4.623, 1.897, 0, 1000, 0.0
0.118, 4.63, 4.628, 0.0, 4.628, 1.897, 0, 1000, 0.0
0.119, 4.66, 4.655, 0.0, 4.655, 1.897, 0, 1000, 0.0
0.12, 4.65, 4.652, 0.0, 4.652, 1.897, 0, 1000, 0.0
0.121, 4.61, 4.611, 0.0, 4.611, 1.897, 0, 1000, 0.0
0.122, 4.65, 4.645, 0.0, 4.645, 1.897, 0, 1000, 0.0
0.123, 4.63, 4.626, 0.0, 4.626, 1.897, 0, 1000, 0.0
0.124, 4.63, 4.632, 0.0, 4.632, 1.897, 0, 1000, 0.0
0.125, 4.66, 4.661, 0.0, 4.661, 1.897, 0, 1000, 0.0
0.126, 4.65, 4.646, 0.0, 4.646, 1.897, 0, 1000, 0.0
0.127, 4.66, 4.659, 0.0, 4.659, 1.897, 0, 1000, 0.0
0.128, 4.62, 4.62, 0.0, 4.62, 1.897, 0, 1000, 0.0
0.129, 4.64, 4.64, 0.0, 4.64, 1.897, 0, 1000, 0.0
0.13, 4.67, 4.673, 0.0, 4.673, 1.897, 0, 1000, 0.0
0.131, 4.65, 4.648, 0.0, 4.648, 1.897, 0, 1000, 0.0
0.132, 4.62, 4.624, 0.0, 4.624, 1.897, 0, 1000, 0.0
0.133, 4.65, 4.645, 0.0, 4.645, 1.897, 0, 1000, 0.0
0.134, 4.64, 4.637, 0.0, 4.637, 1.897, 0, 1000, 0.0
0.135, 4.64, 4.64, 0.0, 4.64, 1.897, 0, 1000, 0.0
0.136, 4.64, 4.644, 0.0, 4.644, 1.897, 0, 1000, 0.0
