Time, Vsupply, ia, ib, ic, dca, dcb, dcc, dc_activated
0.176, 17.72, 2.117, 2.013, 0.05, 0.042, 0.0, 0.0, 0
0.177, 17.72, 2.196, 2.01, 0.05, 0.048, 0.0, 0.0, 0
0.178, 17.72, 2.216, 2.015, 0.05, 0.059, 0.0, 0.0, 0
0.179, 17.72, 2.133, 2.015, 0.05, 0.06, 0.0, 0.0, 0
0.18, 17.72, 2.143, 2.019, 0.05, 0.06, 0.0, 0.0, 0
0.181, 17.72, 2.248, 2.025, 0.05, 0.051, 0.0, 0.0, 0
0.182, 17.72, 2.118, 2.022, 0.05, 0.06, 0.0, 0.0, 0
0.183, 17.72, 2.139, 2.018, 0.05, 0.06, 0.0, 0.0, 0
0.184, 17.72, 2.252, 2.018, 0.05, 0.051, 0.0, 0.0, 0
0.185, 17.72, 2.226, 2.018, 0.05, 0.054, 0.0, 0.0, 0
0.186, 17.72, 2.235, 2.012, 0.05, 0.051, 0.0, 0.0, 0
0.187, 17.72, 1.912, 2.019, 0.05, 0.051, 0.0, 0.0, 0
0.188, 17.71, 2.143, 2.005, 0.05, 0.045, 0.0, 0.0, 0
0.189, 17.72, 2.194, 2.011, 0.05, 0.059, 0.0, 0.0, 0
0.19, 17.72, 2.196, 2.016, 0.05, 0.059, 0.0, 0.0, 0
0.191, 17.72, 1.973, 2.021, 0.05, 0.04, 0.0, 0.0, 0
0.192, 17.72, 2.203, 2.021, 0.05, 0.048, 0.0, 0.0, 0
0.193, 17.72, 2.183, 2.016, 0.05, 0.06, 0.0, 0.0, 0
0.194, 17.72, 2.245, 2.017, 0.05, 0.048, 0.0, 0.0, 0
0.195, 17.72, 2.121, 2.013, 0.05, 0.06, 0.0, 0.0, 0
0.196, 17.72, 2.14, 2.017, 0.05, 0.06, 0.0, 0.0, 0
0.197, 17.72, 2.202, 2.013, 0.05, 0.059, 0.0, 0.0, 0
0.198, 17.72, 2.152, 2.018, 0.05, 0.06, 0.0, 0.0, 0
0.199, 17.72, 2.174, 2.013, 0.05, 0.048, 0.0, 0.0, 0
0.2, 17.72, 2.217, 2.011, 0.05, 0.059, 0.0, 0.0, 0
0.201, 17.72, 2.215, 2.02, 0.05, 0.054, 0.0, 0.0, 0
0.202, 17.72, 2.188, 2.014, 0.05, 0.06, 0.0, 0.0, 0
0.203, 17.71, 2.207, 2.02, 0.05, 0.054, 0.0, 0.0, 0
0.204, 17.71, 2.2, 2.016, 0.05, 0.057, 0.0, 0.0, 0
0.205, 17.71, 2.098, 2.016, 0.05, 0.045, 0.0, 0.0, 0
0.206, 17.72, 2.221, 2.007, 0.05, 0.051, 0.0, 0.0, 0
0.207, 17.72, 2.194, 2.013, 0.05, 0.06, 0.0, 0.0, 0
0.208, 17.72, 2.2, 2.015, 0.05, 0.048, 0.0, 0.0, 0
0.209, 17.71, 2.002, 2.013, 0.05, 0.042, 0.0, 0.0, 0
0.21, 17.72, 2.205, 2.009, 0.05, 0.059, 0.0, 0.0, 0
0.211, 17.71, 2.209, 2.016, 0.05, 0.057, 0.0, 0.0, 0
0.212, 17.71, 2.183, 2.017, 0.05, 0.06, 0.0, 0.0, 0
